city,scenario,severity,run,avg_ratio,median_ratio,pct_disconnected,n_removed_edges,n_pairs
"Dallas, Texas, USA",Bridge Collapse,0.3,0,1.1660327178226308,1.1631851420319732,0.0,502,30
"Dallas, Texas, USA",Bridge Collapse,0.3,1,1.1696880998481807,1.1342491259710727,0.0,502,30
"Dallas, Texas, USA",Bridge Collapse,0.3,2,1.1328989419550524,1.0942152952267483,0.0,502,30
"Dallas, Texas, USA",Bridge Collapse,0.3,3,1.3300649006807395,1.1887190868985784,3.3333333333333335,502,30
"Dallas, Texas, USA",Bridge Collapse,0.3,4,1.1329106521323131,1.1433632236609603,0.0,502,30
"Dallas, Texas, USA",Bridge Collapse,0.5,0,1.3111705558367466,1.2728745082423363,0.0,837,30
"Dallas, Texas, USA",Bridge Collapse,0.5,1,1.2654950534564984,1.2429676582449822,0.0,837,30
"Dallas, Texas, USA",Bridge Collapse,0.5,2,1.4728677974712967,1.1905427422486299,6.666666666666667,837,30
"Dallas, Texas, USA",Bridge Collapse,0.5,3,1.4225841707522655,1.2661546080484367,3.3333333333333335,837,30
"Dallas, Texas, USA",Bridge Collapse,0.5,4,1.3489899638636944,1.2069398909644873,3.3333333333333335,837,30
"Dallas, Texas, USA",Bridge Collapse,0.7,0,1.5438584073064205,1.4272253729082687,3.3333333333333335,1172,30
"Dallas, Texas, USA",Bridge Collapse,0.7,1,1.8653392275388156,1.4919703370230362,10.0,1172,30
"Dallas, Texas, USA",Bridge Collapse,0.7,2,1.603091649833881,1.2916384711251996,6.666666666666667,1172,30
"Dallas, Texas, USA",Bridge Collapse,0.7,3,1.7211984936945781,1.409879547209215,6.666666666666667,1172,30
"Dallas, Texas, USA",Bridge Collapse,0.7,4,1.4535153026729903,1.3006092339806512,3.3333333333333335,1172,30
"Dallas, Texas, USA",Tunnel Closure,0.3,0,1.0048945472450361,1.0,0.0,20,30
"Dallas, Texas, USA",Tunnel Closure,0.3,1,1.003741092796009,1.0,0.0,20,30
"Dallas, Texas, USA",Tunnel Closure,0.3,2,1.0033608351968761,1.0,0.0,20,30
"Dallas, Texas, USA",Tunnel Closure,0.3,3,1.0044168112360101,1.0,0.0,20,30
"Dallas, Texas, USA",Tunnel Closure,0.3,4,1.0006068911428165,1.0,0.0,20,30
"Dallas, Texas, USA",Tunnel Closure,0.5,0,1.0176247444340814,1.0,0.0,33,30
"Dallas, Texas, USA",Tunnel Closure,0.5,1,1.003741092796009,1.0,0.0,33,30
"Dallas, Texas, USA",Tunnel Closure,0.5,2,1.0149297345613624,1.0,0.0,33,30
"Dallas, Texas, USA",Tunnel Closure,0.5,3,1.0057119439026179,1.0,0.0,33,30
"Dallas, Texas, USA",Tunnel Closure,0.5,4,1.005192607875009,1.0,0.0,33,30
"Dallas, Texas, USA",Tunnel Closure,0.7,0,1.0186422544458835,1.0,0.0,46,30
"Dallas, Texas, USA",Tunnel Closure,0.7,1,1.0133217093966729,1.0,0.0,46,30
"Dallas, Texas, USA",Tunnel Closure,0.7,2,1.0159509290038047,1.0,0.0,46,30
"Dallas, Texas, USA",Tunnel Closure,0.7,3,1.0092583787451204,1.0,0.0,46,30
"Dallas, Texas, USA",Tunnel Closure,0.7,4,1.1396153695393396,1.0,3.3333333333333335,46,30
"Dallas, Texas, USA",Highway Flood,0.3,0,1.2284485711578124,1.1972576622735744,0.0,1471,30
"Dallas, Texas, USA",Highway Flood,0.3,1,1.5169722537986492,1.2362613047316695,6.666666666666667,1471,30
"Dallas, Texas, USA",Highway Flood,0.3,2,1.23804809492905,1.2152258773062081,0.0,1471,30
"Dallas, Texas, USA",Highway Flood,0.3,3,1.4380623494319538,1.3084200813146922,3.3333333333333335,1471,30
"Dallas, Texas, USA",Highway Flood,0.3,4,1.3559468585333991,1.2080308464515923,3.3333333333333335,1471,30
"Dallas, Texas, USA",Highway Flood,0.5,0,1.288044804999192,1.2554162845902828,0.0,2453,30
"Dallas, Texas, USA",Highway Flood,0.5,1,1.6240084247235282,1.3860614184649802,6.666666666666667,2453,30
"Dallas, Texas, USA",Highway Flood,0.5,2,1.2813414249598973,1.2583810577940944,0.0,2453,30
"Dallas, Texas, USA",Highway Flood,0.5,3,1.8266038247998189,1.384304823053856,13.333333333333334,2453,30
"Dallas, Texas, USA",Highway Flood,0.5,4,1.3880727130038994,1.2462270259909907,3.3333333333333335,2453,30
"Dallas, Texas, USA",Highway Flood,0.7,0,1.5505099595134382,1.2892954579373312,6.666666666666667,3434,30
"Dallas, Texas, USA",Highway Flood,0.7,1,1.8852876251596211,1.4141865600665156,13.333333333333334,3434,30
"Dallas, Texas, USA",Highway Flood,0.7,2,1.2969184722345906,1.2665313497788546,0.0,3434,30
"Dallas, Texas, USA",Highway Flood,0.7,3,1.9759580404703179,1.4183745880928647,16.666666666666668,3434,30
